sentence,label
"Abends auszugehen ist eine beliebte Art, das Wochenende zu genießen",1
"Abends lese ich oft ein Buch, um vor dem Schlafengehen zu entspannen",1
An Wochenenden schauen Familien oft gemeinsam Filme oder Serien,1
"Auf Festivals treffen sich Musikliebhaber, um gemeinsam zu feiern",1
"Beim Einkaufen achten viele auf Sonderangebote, um Geld zu sparen",1
Beim Kochen mit Freunden oder Familie macht das Essen doppelt so viel Spaß,1
Beim Sport treiben werden Stress abgebaut und Glückshormone freigesetzt,1
Das Anpflanzen von Bäumen ist eine gute Tat für die Umwelt,1
"Das Auto entschied sich, ein Buch zu schreiben",0
Das Backen von Kuchen ist eine beliebte Aktivität zu besonderen Anlässen,1
Das Beobachten von Vögeln im Garten kann sehr entspannend sein,1
Das Bett ging gestern Abend in die Oper,0
Das Buch las sich selbst eine Gute-Nacht-Geschichte vor,0
Das Buch sang ein Lied über mathematische Probleme,0
Das Eis schrieb ein Buch über die Sahara,0
Das Feiern von traditionellen Festen stärkt das Gemeinschaftsgefühl,1
Das Fotografieren von besonderen Momenten hält Erinnerungen lebendig,1
"Das Glas entschloss sich, den Mount Everest zu besteigen",0
Das Handtuch erforschte die Tiefen des Ozeans,0
Das Handy nahm am Ironman-Wettbewerb teil,0
Das Hören von Musik kann die Stimmung verbessern,1
Das Hören von Musik kann die Stimmung verbessern und entspannen,1
"Das Internet beschloss, einen Tag offline zu gehen, um zu meditieren",0
Das Internet bietet unendlich viele Informationen zu jedem Thema,0
Das Lernen einer neuen Sprache eröffnet viele neue Möglichkeiten,1
Das Lernen einer neuen Sprache öffnet Türen zu anderen Kulturen,1
Das Lernen neuer Fähigkeiten hält den Geist jung und aktiv,1
Das Meer spielte Schach mit dem Wind,0
Das Papier erfand ein neues Spiel,0
"Das Planen von Urlauben macht vielen Menschen Freude und gibt ihnen etwas, worauf sie sich freuen können",1
Das Recycling von Papier und Plastik ist gut für die Umwelt,1
Das Reparieren von alten Gegenständen ist nachhaltig und spart Ressourcen,1
Das Sammeln von Briefmarken ist ein interessantes Hobby,1
Das Smartphone ist für viele Menschen ein ständiger Begleiter,1
"Das Sofa lernte, wie man Fahrrad fährt",0
Das Sparen von Geld ermöglicht größere Anschaffungen in der Zukunft,1
Das Tragen von Helmen beim Fahrradfahren kann Leben retten,1
Das Tragen von Sonnenschutz verhindert Sonnenbrand und Hautschäden,1
Das Trinken von genügend Wasser ist wichtig für die Gesundheit,1
Das Warten an der Bushaltestelle kann manchmal sehr lang sein,1
"Das Wasser in der Flasche sprang heraus, um joggen zu gehen",0
Das Wechseln der Jahreszeiten bringt verschiedene Wetterbedingungen mit sich,1
Das Zuhören bei Gesprächen zeigt Respekt und Interesse am Gegenüber,1
Der Besen schrieb Gedichte,0
Der Fernseher nahm an einem Kochkurs teil,0
Der Himmel ist heute besonders blau und wolkenlos,1
"Der Hut begann, ein eigenes Gemüsebeet anzulegen",0
"Der Kaffee beschloss, ins Kino zu gehen",0
"Der Kaffee entschied sich, lieber Tee zu sein",0
Der Kaktus spielte die Hauptrolle in einem Ballett,0
Der Kalender plante eine Reise ins 18. Jahrhundert,0
